number,opened_at,short_description,description,priority,category,urgency,state,resolved_at,closed_at,caller,assignment_group,assigned_to,impact,location,sla_due,knowledge_match
INC100047,2025-07-15 07:22:32,Build pipeline failing,Build pipeline failing. Tried clearing cache and cookies. Related to recent configuration change.,Low,Hardware,Low,Cancelled,,2025-07-15 11:22:32,grace,Security,tech3,Medium,Gurugram,2025-07-17 07:22:32,KB-3102
INC100048,2025-08-04 16:02:56,API rate limit exceeded,API rate limit exceeded. Happens only on corporate network.,Moderate,Other,Medium,Open,,,bob,Network,tech1,High,Gurugram,2025-08-04 20:02:56,KB-2044
INC100049,2025-07-08 04:39:54,New software install request,New software install request. Possible DNS resolution issue. Happens on Windows and macOS. Started after latest patch.,Moderate,Access,Medium,In Progress,,,diana,Systems,tech4,Low,Bengaluru,2025-07-10 04:39:54,KB-1001
INC100050,2025-08-03 12:00:32,Slow application performance,Slow application performance. Possible DNS resolution issue. Happens on Windows and macOS.,High,Network,High,Resolved,2025-08-03 22:00:32,,bob,Security,tech2,Low,Pune,2025-08-04 12:00:32,
INC100051,2025-08-03 06:40:18,Two-factor authentication issue,Two-factor authentication issue. Started after latest patch.,Moderate,Hardware,High,Closed,2025-08-07 05:40:18,2025-08-08 02:40:18,diana,Applications,tech4,High,Remote,2025-08-04 06:40:18,
INC100052,2025-07-10 00:25:15,Phone system down,Phone system down. User located in remote site. Started after latest patch.,Low,Security,High,Resolved,2025-07-11 12:25:15,,harry,Systems,tech3,Medium,Hyderabad,2025-07-10 04:25:15,KB-2044
INC100053,2025-07-24 01:47:48,Outlook crashes on launch,Outlook crashes on launch. Requires admin privileges to fix.,Moderate,Other,Medium,Closed,2025-07-28 10:47:48,2025-07-29 22:47:48,eve,Systems,,Medium,Gurugram,2025-07-24 05:47:48,
INC100054,2025-07-30 11:47:21,Build pipeline failing,Build pipeline failing. Logs attached for review.,Moderate,Network,High,Resolved,2025-08-02 03:47:21,,eve,Applications,tech1,Medium,Pune,2025-08-01 11:47:21,KB-1001
INC100055,2025-07-09 11:10:59,Laptop won't boot,Laptop won't boot. Compliance risk if not resolved quickly. Started after latest patch. Tried clearing cache and cookies.,Low,Software,Medium,Resolved,2025-07-11 03:10:59,,bob,Security,,Low,Bengaluru,2025-07-11 11:10:59,KB-3102
INC100056,2025-08-01 18:25:35,Service outage reported,Service outage reported. Impacts finance team deadlines.,Moderate,Access,Medium,Cancelled,,2025-08-02 02:25:35,diana,Applications,tech4,Low,Bengaluru,2025-08-01 22:25:35,KB-3102
INC100057,2025-08-14 13:46:46,New software install request,New software install request. Possible DNS resolution issue. User located in remote site. Blocking deployment to production.,Low,Security,Medium,In Progress,,,harry,Applications,tech3,Medium,Hyderabad,2025-08-16 13:46:46,KB-4520
INC100058,2025-07-23 16:26:44,Build pipeline failing,Build pipeline failing. Happening for multiple users. Requires admin privileges to fix.,Low,Software,Low,On Hold,,,harry,Security,tech3,Low,Remote,2025-07-24 00:26:44,KB-4520
INC100059,2025-07-09 20:40:43,Database connection timeout,Database connection timeout. Issue persists after reboot. Blocking deployment to production.,High,Network,Low,Closed,2025-07-14 12:40:43,2025-07-15 17:40:43,grace,Network,,Medium,Hyderabad,2025-07-10 20:40:43,
INC100060,2025-08-10 16:36:25,Network latency in office,Network latency in office. User located in remote site. Happening for multiple users. Started after latest patch.,Moderate,Network,High,Closed,2025-08-15 06:36:25,2025-08-16 17:36:25,diana,Systems,tech1,Low,Chennai,2025-08-12 16:36:25,KB-1001
INC100061,2025-08-13 23:26:33,Laptop won't boot,Laptop won't boot. Requires admin privileges to fix.,Moderate,Access,Low,Open,,,alice,Systems,tech2,Medium,Pune,2025-08-14 07:26:33,KB-2044
INC100062,2025-08-02 20:24:05,SAML login failing,SAML login failing. Tried clearing cache and cookies. User located in remote site.,Moderate,Software,Medium,Open,,,charlie,Network,tech3,Low,Hyderabad,2025-08-04 20:24:05,KB-3102
INC100063,2025-08-09 10:28:24,Outlook crashes on launch,Outlook crashes on launch. Possible DNS resolution issue. Compliance risk if not resolved quickly.,Critical,Network,Low,Resolved,2025-08-10 07:28:24,,eve,Security,tech2,High,Pune,2025-08-11 10:28:24,KB-1001
INC100064,2025-07-19 13:54:44,Jira webhook failing,Jira webhook failing. Impacts finance team deadlines. Happens only on corporate network. Issue persists after reboot.,Moderate,Network,Medium,Cancelled,,2025-07-19 23:54:44,alice,Applications,tech3,Medium,Bengaluru,2025-07-20 13:54:44,KB-2044
INC100065,2025-08-07 23:15:40,API rate limit exceeded,API rate limit exceeded. Happening for multiple users. Possible DNS resolution issue. Happens on Windows and macOS.,High,Other,Medium,Resolved,2025-08-08 17:15:40,,alice,Applications,tech2,Low,Bengaluru,2025-08-08 03:15:40,KB-3102
INC100066,2025-07-23 22:12:11,Database connection timeout,Database connection timeout. Customer-facing impact reported. Happens only on corporate network.,Moderate,Software,High,Resolved,2025-07-25 21:12:11,,harry,Systems,tech2,High,Pune,2025-07-24 02:12:11,KB-2044
INC100067,2025-08-13 16:11:52,Account locked after attempts,Account locked after attempts. Impacts finance team deadlines.,Low,Other,Low,Resolved,2025-08-15 19:11:52,,alice,Systems,tech4,High,Pune,2025-08-14 16:11:52,KB-3102
INC100068,2025-08-05 10:36:34,Cannot connect to Wi-Fi,Cannot connect to Wi-Fi. No recent changes reported.,Moderate,Network,Medium,Open,,,frank,Applications,tech1,Low,Chennai,2025-08-07 10:36:34,KB-3102
INC100069,2025-08-08 13:57:59,Password reset required,Password reset required. Tried clearing cache and cookies.,Moderate,Hardware,High,In Progress,,,charlie,Security,tech3,Medium,Remote,2025-08-10 13:57:59,
INC100070,2025-08-13 02:21:13,SAML login failing,SAML login failing. Happens only on corporate network. Happening for multiple users.,Moderate,Other,Low,Open,,,frank,Network,tech3,Medium,Bengaluru,2025-08-14 02:21:13,KB-1001
INC100071,2025-08-10 08:25:23,Two-factor authentication issue,Two-factor authentication issue. Occurs intermittently.,Moderate,Other,Low,In Progress,,,harry,Service Desk,tech1,Low,Remote,2025-08-10 12:25:23,KB-1001
INC100072,2025-08-15 06:13:47,Printer offline,Printer offline. Logs attached for review. Tried clearing cache and cookies. Requires admin privileges to fix.,High,Security,Low,Open,,,charlie,Applications,,Medium,Bengaluru,2025-08-15 14:13:47,
INC100073,2025-07-20 05:34:51,S3 access denied,S3 access denied. Requires admin privileges to fix.,Low,Hardware,High,Open,,,alice,Network,tech2,High,Bengaluru,2025-07-22 05:34:51,
INC100074,2025-07-13 13:57:31,Outlook crashes on launch,Outlook crashes on launch. Tried clearing cache and cookies. Happening for multiple users. Possible DNS resolution issue.,Moderate,Network,Medium,On Hold,,,harry,Service Desk,,Medium,Pune,2025-07-15 13:57:31,KB-1001
INC100075,2025-07-31 20:45:08,Email not syncing,Email not syncing. Happens only on corporate network.,Moderate,Hardware,Medium,In Progress,,,frank,Security,tech4,Low,Hyderabad,2025-08-02 20:45:08,
INC100076,2025-08-06 10:55:16,SSL cert expired,SSL cert expired. Tried clearing cache and cookies. Compliance risk if not resolved quickly.,Moderate,Hardware,Low,Closed,2025-08-09 22:55:16,2025-08-11 10:55:16,frank,Security,tech3,Medium,Remote,2025-08-06 14:55:16,KB-3102
INC100077,2025-07-28 18:45:49,Email not syncing,Email not syncing. Started after latest patch.,High,Software,Medium,Resolved,2025-07-31 07:45:49,,grace,Service Desk,tech2,High,Gurugram,2025-07-28 22:45:49,
INC100078,2025-08-04 07:50:36,Kubernetes pod restart loop,Kubernetes pod restart loop. Possible DNS resolution issue.,Moderate,Access,Medium,In Progress,,,eve,Systems,,Low,Gurugram,2025-08-04 15:50:36,KB-2044
INC100079,2025-08-08 22:42:03,Build pipeline failing,Build pipeline failing. Tried clearing cache and cookies. Compliance risk if not resolved quickly.,Moderate,Network,Low,Resolved,2025-08-10 22:42:03,,alice,Applications,tech2,High,Bengaluru,2025-08-09 22:42:03,KB-3102
INC100080,2025-08-21 19:13:00,Email not syncing,Email not syncing. Issue persists after reboot.,High,Software,High,On Hold,,,bob,Applications,tech1,Medium,Pune,2025-08-23 19:13:00,KB-3102
INC100081,2025-07-15 16:56:34,Access denied to shared drive,Access denied to shared drive. Happening for multiple users.,Moderate,Security,Low,On Hold,,,bob,Systems,tech3,Low,Pune,2025-07-17 16:56:34,
INC100082,2025-07-29 12:33:59,Password reset required,Password reset required. User located in remote site. Related to recent configuration change.,Moderate,Security,Medium,Open,,,eve,Service Desk,tech1,Medium,Gurugram,2025-07-29 16:33:59,KB-1001
INC100083,2025-07-17 23:43:04,Password reset required,Password reset required. User located in remote site.,High,Software,Medium,Resolved,2025-07-19 13:43:04,,grace,Network,tech1,Medium,Gurugram,2025-07-18 07:43:04,
INC100084,2025-08-04 04:30:28,SSL cert expired,SSL cert expired. Happens on Windows and macOS.,Low,Hardware,Low,In Progress,,,bob,Systems,tech4,Medium,Gurugram,2025-08-06 04:30:28,KB-4520
INC100085,2025-07-22 02:51:26,Outlook crashes on launch,Outlook crashes on launch. Requested escalation to L3. Started after latest patch. Compliance risk if not resolved quickly.,High,Network,High,Open,,,bob,Network,tech3,Low,Pune,2025-07-22 06:51:26,KB-4520
INC100086,2025-08-19 07:46:56,API rate limit exceeded,API rate limit exceeded. Related to recent configuration change.,High,Network,Medium,Resolved,2025-08-19 17:46:56,,diana,Systems,tech2,Low,Remote,2025-08-19 15:46:56,KB-2044
INC100087,2025-07-13 01:19:25,Slow application performance,Slow application performance. User located in remote site. Happens on Windows and macOS. Related to recent configuration change.,High,Security,High,Open,,,frank,Systems,tech1,Medium,Chennai,2025-07-15 01:19:25,KB-4520
INC100088,2025-08-07 17:09:53,New software install request,New software install request. Happens on Windows and macOS. Happening for multiple users.,High,Hardware,Medium,In Progress,,,alice,Systems,tech2,High,Remote,2025-08-07 21:09:53,
INC100089,2025-08-05 21:42:03,S3 access denied,S3 access denied. Logs attached for review. Requires admin privileges to fix. User located in remote site.,Moderate,Security,Medium,Closed,2025-08-09 20:42:03,2025-08-09 23:42:03,charlie,Service Desk,tech3,High,Hyderabad,2025-08-06 01:42:03,
INC100090,2025-08-08 10:20:25,SAML login failing,SAML login failing. Requested escalation to L3.,High,Access,Medium,Cancelled,,2025-08-09 03:20:25,frank,Systems,tech3,Medium,Hyderabad,2025-08-08 14:20:25,KB-3102
INC100091,2025-07-11 06:20:26,Access denied to shared drive,Access denied to shared drive. Started after latest patch. Blocking deployment to production.,High,Access,Medium,In Progress,,,frank,Systems,tech3,High,Gurugram,2025-07-11 10:20:26,KB-3102
INC100092,2025-08-04 04:44:21,API rate limit exceeded,API rate limit exceeded. Compliance risk if not resolved quickly. Related to recent configuration change. Requested escalation to L3.,Moderate,Software,Low,Resolved,2025-08-07 00:44:21,,alice,Systems,tech2,High,Bengaluru,2025-08-05 04:44:21,KB-4520
INC100093,2025-07-17 09:15:00,Database connection timeout,Database connection timeout. Related to recent configuration change. Happening for multiple users. Requires admin privileges to fix.,High,Hardware,High,In Progress,,,charlie,Applications,tech3,High,Bengaluru,2025-07-17 17:15:00,
INC100094,2025-08-16 08:09:07,Outlook crashes on launch,Outlook crashes on launch. Possible DNS resolution issue. Happens on Windows and macOS. Tried clearing cache and cookies.,Low,Hardware,Low,In Progress,,,diana,Systems,tech3,High,Hyderabad,2025-08-18 08:09:07,KB-4520
INC100095,2025-08-14 10:00:31,Jira webhook failing,Jira webhook failing. Blocking deployment to production.,High,Security,Medium,In Progress,,,eve,Service Desk,tech3,Medium,Gurugram,2025-08-14 14:00:31,
INC100096,2025-08-18 09:13:41,Access denied to shared drive,Access denied to shared drive. Started after latest patch. Tried clearing cache and cookies.,High,Software,High,In Progress,,,harry,Systems,,Medium,Chennai,2025-08-20 09:13:41,
INC100097,2025-07-26 05:14:40,Password reset required,Password reset required. Requires admin privileges to fix. Blocking deployment to production. Related to recent configuration change.,High,Network,Low,Open,,,alice,Systems,tech3,Low,Bengaluru,2025-07-28 05:14:40,KB-4520
INC100098,2025-08-06 22:28:49,Service outage reported,Service outage reported. Related to recent configuration change. Compliance risk if not resolved quickly. Occurs intermittently.,Critical,Network,High,Open,,,eve,Network,tech2,High,Chennai,2025-08-07 06:28:49,KB-4520
INC100099,2025-08-08 01:58:49,Service outage reported,Service outage reported. Related to recent configuration change.,Low,Hardware,Medium,Resolved,2025-08-10 17:58:49,,diana,Network,tech2,Medium,Chennai,2025-08-09 01:58:49,KB-2044
INC100100,2025-08-04 18:25:09,Email not syncing,Email not syncing. No recent changes reported. Related to recent configuration change. Issue persists after reboot.,Moderate,Hardware,Medium,On Hold,,,grace,Security,,Low,Pune,2025-08-05 18:25:09,KB-3102
INC100101,2025-08-13 08:14:04,Build pipeline failing,Build pipeline failing. Requires admin privileges to fix. Blocking deployment to production. Happening for multiple users.,Critical,Network,Low,Open,,,frank,Applications,tech2,Low,Bengaluru,2025-08-15 08:14:04,KB-4520
INC100102,2025-08-07 17:34:24,New software install request,New software install request. Happening for multiple users.,High,Other,High,Resolved,2025-08-10 04:34:24,,diana,Service Desk,tech2,Medium,Gurugram,2025-08-09 17:34:24,
INC100103,2025-07-31 01:05:54,API rate limit exceeded,API rate limit exceeded. Happens only on corporate network. Occurs intermittently.,High,Software,Low,In Progress,,,frank,Security,tech3,Low,Pune,2025-08-02 01:05:54,KB-3102
INC100104,2025-07-17 03:12:20,Kubernetes pod restart loop,Kubernetes pod restart loop. Started after latest patch. Compliance risk if not resolved quickly.,Moderate,Security,Medium,In Progress,,,charlie,Applications,tech2,Medium,Chennai,2025-07-17 07:12:20,KB-3102
INC100105,2025-08-09 03:34:28,Account locked after attempts,Account locked after attempts. Happening for multiple users. Requested escalation to L3.,High,Other,Medium,In Progress,,,grace,Systems,,High,Remote,2025-08-11 03:34:28,KB-3102
INC100106,2025-08-01 23:20:10,Disk space running low,Disk space running low. Happening for multiple users. Blocking deployment to production.,Low,Hardware,Medium,Open,,,bob,Network,tech2,Medium,Pune,2025-08-02 03:20:10,
INC100107,2025-07-15 12:18:58,Phone system down,Phone system down. Related to recent configuration change.,Moderate,Network,Low,In Progress,,,frank,Security,tech2,Low,Hyderabad,2025-07-15 20:18:58,KB-1001
INC100108,2025-07-09 07:44:20,High CPU on server,High CPU on server. Logs attached for review. Possible DNS resolution issue.,Moderate,Access,Medium,Closed,2025-07-09 23:44:20,2025-07-10 16:44:20,harry,Network,,High,Chennai,2025-07-11 07:44:20,KB-2044
INC100109,2025-08-20 16:35:05,High CPU on server,High CPU on server. No recent changes reported.,Moderate,Other,Low,Closed,2025-08-22 09:35:05,2025-08-24 04:35:05,eve,Systems,tech1,Low,Remote,2025-08-21 00:35:05,KB-3102
INC100110,2025-08-01 18:17:28,Laptop won't boot,Laptop won't boot. No recent changes reported. Requested escalation to L3.,High,Software,Low,Open,,,harry,Applications,tech1,Low,Chennai,2025-08-01 22:17:28,KB-3102
INC100111,2025-07-27 09:26:15,Jira webhook failing,Jira webhook failing. Started after latest patch. Blocking deployment to production. Requires admin privileges to fix.,Low,Security,Low,In Progress,,,bob,Security,tech3,Low,Gurugram,2025-07-28 09:26:15,KB-2044
INC100112,2025-08-19 16:26:43,SSL cert expired,SSL cert expired. Happening for multiple users. Occurs intermittently. Blocking deployment to production.,Low,Security,Medium,Open,,,eve,Network,tech1,Medium,Remote,2025-08-20 00:26:43,KB-3102
INC100113,2025-08-02 06:06:27,Two-factor authentication issue,Two-factor authentication issue. Possible DNS resolution issue.,Low,Network,Low,Open,,,bob,Applications,tech1,Low,Gurugram,2025-08-02 14:06:27,KB-2044
INC100114,2025-08-09 01:01:37,Email not syncing,Email not syncing. Happens only on corporate network.,Moderate,Network,Low,Resolved,2025-08-09 07:01:37,,diana,Applications,tech3,Low,Remote,2025-08-09 05:01:37,KB-4520
INC100115,2025-08-20 05:18:15,New software install request,New software install request. Started after latest patch. Happening for multiple users.,Moderate,Network,Medium,In Progress,,,charlie,Security,tech3,Medium,Pune,2025-08-20 13:18:15,KB-3102
INC100116,2025-08-06 12:21:29,Access denied to shared drive,Access denied to shared drive. Related to recent configuration change. Occurs intermittently.,High,Network,Low,Resolved,2025-08-08 09:21:29,,frank,Network,tech3,High,Hyderabad,2025-08-08 12:21:29,KB-2044
INC100117,2025-07-14 21:40:55,Jira webhook failing,Jira webhook failing. Requires admin privileges to fix. Logs attached for review.,Critical,Access,Medium,Closed,2025-07-17 03:40:55,2025-07-17 19:40:55,charlie,Security,tech4,Medium,Pune,2025-07-15 21:40:55,KB-4520
INC100118,2025-07-09 04:33:00,VPN disconnects frequently,VPN disconnects frequently. Possible DNS resolution issue.,Critical,Access,Medium,Closed,2025-07-10 08:33:00,2025-07-11 22:33:00,harry,Applications,tech3,Medium,Gurugram,2025-07-09 08:33:00,KB-1001
INC100119,2025-07-28 23:36:54,Malware alert flagged,Malware alert flagged. No recent changes reported.,High,Network,Medium,Resolved,2025-07-30 22:36:54,,diana,Systems,tech4,Medium,Chennai,2025-07-30 23:36:54,
